,Student,Quiz 1.8 (12095674),Quiz 1.10/ 2.5 (12095676),Quiz 2.1 (12095681),quiz 2.2 (12095682),quiz 2.3 (12095684),quiz 2.4 (12095685),quiz 2.6 (12095687),quiz 2.7 (12095688),Quiz 2.8 (12129084),Quiz 3.1 (12129085),Quiz 3.2 (12129086),Quiz 3.3 (12129087),Quiz 3.4 (12140597),Quiz 1.6 (12140598),Quiz 3.5 (12140599),Quiz 3.6 (12212372),Quiz 4.1 (12212373),Quiz 4.2 (12212375),Quiz 4.3 (12212378),Quiz 4.4 (12212380),Quiz 4.5 (12212381),Quiz 4.6 (12212382),Test 1 Review  (12095652),Test 2 Review (12140602),Test Review 3 (12212383),Test 1 (12095605),Test 2 (12141137),Test 3  (12214955),Quizes Current Score,Quizes Unposted Current Score,Quizes Final Score,Quizes Unposted Final Score,Test Reviews Current Score,Test Reviews Unposted Current Score,Test Reviews Final Score,Test Reviews Unposted Final Score,Tests Current Score,Tests Unposted Current Score,Tests Final Score,Tests Unposted Final Score,Final  Current Score,Final  Unposted Current Score,Final  Final Score,Final  Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
10,STUDENT 10,0.0,8.0,6.0,10.0,8.6,4.0,4.0,0.0,8.0,4.75,7.0,4.0,2.5,4.0,0.0,0.68,5.83,0.0,10.0,4.0,4.0,,0.0,0.0,45.11,65.0,48.0,48.0,52.11,52.11,49.41,49.41,15.56,15.56,15.56,15.56,62.40,62.40,62.40,62.40,,,,,55.26,55.26,54.92,54.92,F,F,F,F
11,STUDENT 11,8.0,2.0,8.99,10.0,8.1,7.0,8.0,8.5,6.0,7.25,10.0,0.0,2.5,4.0,0.0,0.0,5.5,10.0,10.0,10.0,9.0,3.32,93.38,100.0,74.77,73.0,48.0,48.0,71.59,71.59,71.59,71.59,92.48,92.48,92.48,92.48,65.50,65.50,65.50,65.50,,,,,69.64,69.64,69.64,69.64,D,D,D,D
12,STUDENT 12,5.0,8.0,10.0,10.0,8.2,7.0,10.0,9.75,8.0,9.25,10.0,4.0,5.0,4.0,3.0,9.0,5.5,10.0,10.0,10.0,8.0,5.0,37.69,88.1,88.51,69.0,87.0,87.0,87.41,87.41,87.41,87.41,73.90,73.90,73.90,73.90,94.19,94.19,94.19,94.19,,,,,90.80,90.80,90.80,90.80,A,A,A,A
13,STUDENT 13,4.0,6.66,10.0,10.0,9.7,8.0,8.0,6.0,8.0,9.25,7.34,4.0,3.75,4.0,2.44,9.34,9.0,10.0,9.5,6.0,6.0,5.0,70.98,91.67,83.09,54.0,53.0,53.0,80.82,80.82,80.82,80.82,84.75,84.75,84.75,84.75,62.02,62.02,62.02,62.02,,,,,67.21,67.21,67.21,67.21,D,D,D,D
14,STUDENT 14,6.0,10.0,9.32,10.0,10.0,7.0,8.0,9.25,8.0,9.25,10.0,4.0,2.5,4.0,0.0,0.0,9.5,10.0,7.0,4.0,10.0,10.0,98.6,92.86,81.39,80.0,77.0,77.0,81.77,81.77,81.77,81.77,94.10,94.10,94.10,94.10,90.70,90.70,90.70,90.70,,,,,90.01,90.01,90.01,90.01,A,A,A,A
15,STUDENT 15,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94,3.94,3.94,3.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.49,0.49,0.49,0.49,F,F,F,F
16,STUDENT 16,5.0,10.0,10.0,10.0,9.4,7.0,8.0,8.0,8.0,10.0,9.32,4.0,5.0,2.0,3.68,0.0,8.66,10.0,9.5,10.0,0.0,0.0,96.54,90.48,0.0,66.0,43.0,43.0,76.46,76.46,76.46,76.46,64.50,64.50,64.50,64.50,58.91,58.91,58.91,58.91,,,,,61.81,61.81,61.81,61.81,D,D,D,D
17,STUDENT 17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.52,0.52,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.06,0.06,0.06,0.06,F,F,F,F
18,STUDENT 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,4.0,5.0,4.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,93.64,0.0,0.0,86.0,86.0,18.13,18.13,18.13,18.13,32.29,32.29,32.29,32.29,66.67,66.67,66.67,66.67,,,,,56.30,56.30,56.30,56.30,F,F,F,F
19,STUDENT 19,8.0,10.0,10.0,10.0,9.7,10.0,10.0,10.0,8.0,10.0,10.0,4.0,5.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,89.97,50.0,20.0,20.0,99.84,99.84,99.84,99.84,100.00,100.00,100.00,100.00,34.88,34.88,34.88,34.88,,,,,51.14,51.14,51.14,51.14,F,F,F,F
20,STUDENT 20,4.0,10.0,10.0,10.0,9.7,10.0,10.0,9.75,8.0,9.0,10.0,4.0,5.0,4.0,4.0,0.0,10.0,10.0,0.0,0.0,9.0,8.32,19.04,98.81,89.97,37.0,88.0,88.0,80.19,80.19,80.19,80.19,71.67,71.67,71.67,71.67,82.56,82.56,82.56,82.56,,,,,80.90,80.90,80.90,80.90,B,B,B,B
21,STUDENT 21,3.0,10.0,10.0,10.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.25,4.0,0.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,100.0,73.0,0.0,10.0,0.0,0.0,40.03,40.03,37.95,37.95,59.66,59.66,59.66,59.66,3.88,3.88,3.88,3.88,,,,,15.37,15.37,15.11,15.11,F,F,F,F
22,STUDENT 22,5.0,8.66,7.32,10.0,,5.5,8.0,7.25,8.0,9.0,9.0,4.0,3.75,4.0,1.16,9.0,9.5,10.0,10.0,10.0,10.0,3.32,47.99,95.24,83.46,45.0,80.0,80.0,83.31,83.31,78.99,78.99,78.18,78.18,78.18,78.18,79.46,79.46,79.46,79.46,,,,,79.78,79.78,79.24,79.24,C,C,C,C
23,STUDENT 23,7.0,6.0,10.0,10.0,7.8,6.5,8.0,8.75,8.0,8.25,10.0,2.0,5.0,4.0,2.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,79.99,94.05,89.97,62.0,40.0,40.0,88.76,88.76,88.76,88.76,91.05,91.05,91.05,91.05,55.04,55.04,55.04,55.04,,,,,63.75,63.75,63.75,63.75,D,D,D,D
24,STUDENT 24,7.0,8.0,7.34,10.0,9.1,3.0,8.0,6.0,8.0,8.25,7.36,4.0,2.5,2.0,2.44,10.0,0.0,0.0,10.0,10.0,10.0,10.0,41.32,100.0,89.97,58.0,88.0,88.0,74.09,74.09,74.09,74.09,79.76,79.76,79.76,79.76,90.70,90.70,90.70,90.70,,,,,87.25,87.25,87.25,87.25,B,B,B,B
25,STUDENT 25,8.0,7.32,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,4.0,5.0,4.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,89.97,17.0,42.0,42.0,98.09,98.09,98.09,98.09,100.00,100.00,100.00,100.00,39.15,39.15,39.15,39.15,,,,,54.12,54.12,54.12,54.12,F,F,F,F
26,STUDENT 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,60.0,60.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.14,58.14,58.14,58.14,,,,,43.60,43.60,43.60,43.60,F,F,F,F
27,STUDENT 27,8.0,6.0,8.8,10.0,10.0,10.0,10.0,8.25,8.0,10.0,10.0,4.0,1.25,4.0,2.0,0.0,6.0,10.0,10.0,10.0,8.0,10.0,45.22,84.53,89.97,37.0,55.0,55.0,85.13,85.13,85.13,85.13,75.77,75.77,75.77,75.77,56.98,56.98,56.98,56.98,,,,,62.85,62.85,62.85,62.85,D,D,D,D
28,"Student, Test",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,,,,,,0.00,0.00,,,F,F
